"Qty","Value","Device","Package","Parts","Description","MF","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","SUPPLIER",
"1","","47346-0001","MOLEX_47346-0001","J1","CONN RCPT 5POS MICRO USB R/A  SMD","","47346-0001","1568026","47M0505","5 POS MICRO USB R/A","MOLEX",
"1","","C-EUC0805","C0805","C23","CAPACITOR, European symbol","","","","","","",
"3","","LEDCHIP-LED0805","CHIP-LED0805","D12, D13, D14","LED","","","","","","",
"1","","MA06-1","MA06-1","SV1","PIN HEADER","","","unknown","unknown","","",
"1","0*","R-EU_R0805","R0805","R28","RESISTOR, European symbol","","","","","","",
"7","0.1u","C-EUC0805","C0805","C11, C15, C17, C20, C21, C22, C28","CAPACITOR, European symbol","","","","","","",
"6","10","R-EU_R0805","R0805","R1, R2, R4, R5, R7, R8","RESISTOR, European symbol","","","","","","",
"1","100k","R-EU_R0805","R0805","R32","RESISTOR, European symbol","","","","","","",
"5","100n","C-EUC0805","C0805","C33, C34, C35, C38, C39","CAPACITOR, European symbol","","","","","","",
"2","100u","CPOL-EUB/3528-21W","B/3528-21W","C26, C27","POLARIZED CAPACITOR, European symbol","","","","","","",
"1","10k","R-EU_R0805","R0805","R20","RESISTOR, European symbol","","","","","","",
"1","10n","C-EUC0805","C0805","C14","CAPACITOR, European symbol","","","","","","",
"1","150p","C-EUC0805","C0805","C24","CAPACITOR, European symbol","","","","","","",
"1","16k","R-EU_R0805","R0805","R21","RESISTOR, European symbol","","","","","","",
"4","18k","R-EU_R0805","R0805","R17, R22, R23, R24","RESISTOR, European symbol","","","","","","",
"1","1k5","R-EU_R0805","R0805","R29","RESISTOR, European symbol","","","","","","",
"2","1m","R_EU","R2512","R3, R6","","","","","","","",
"2","1u","C-EUC1206","C1206","C13, C16","CAPACITOR, European symbol","","","","","","",
"2","22","R-EU_R0805","R0805","R30, R31","RESISTOR, European symbol","","","","","","",
"1","220k","R-EU_R0805","R0805","R19","RESISTOR, European symbol","","","","","","",
"2","22p","C-EUC0805","C0805","C29, C30","CAPACITOR, European symbol","","","","","","",
"1","22u","L-EUSDR0805","SDR0805","L1","INDUCTOR, European symbol","","","","","","",
"4","2k2","R-EU_R0805","R0805","R10, R12, R14, R16","RESISTOR, European symbol","","","","","","",
"2","2n2","C-EUC0805","C0805","C1, C6","CAPACITOR, European symbol","","","","","","",
"4","2u2","C-EUC0805","C0805","C31, C32, C36, C37","CAPACITOR, European symbol","","","","","","",
"5","2u2","C-EUC1206","C1206","C2, C3, C4, C5, C19","CAPACITOR, European symbol","","","","","","",
"4","39k","R-EU_R0805","R0805","R9, R11, R13, R15","RESISTOR, European symbol","","","","","","",
"4","3k3","R-EU_R0805","R0805","R18, R25, R26, R27","RESISTOR, European symbol","","","","","","",
"4","47p","C-EUC0805","C0805","C7, C8, C9, C10","CAPACITOR, European symbol","","","","","","",
"2","4u7","C-EUC1206","C1206","C12, C18","CAPACITOR, European symbol","","","","","","",
"1","6n8","C-EUC0805","C0805","C25","CAPACITOR, European symbol","","","","","","",
"1","ABM3B","ABM3B","IQG5032B","X1","","","","","","","",
"4","BAS85","SCHOTTKY-DIODESOD80C","SOD80C","D7, D8, D9, D10","Schottky Diode","","","","","","",
"1","DRV8301DCAR","DRV8301DCAR","SOP50P810X120-57N","U1","Three Phase Pre-Driver with Dual Current Shunt Amplifiers and Buck Regulator,HTSSOP-56","","DRV8301DCAR","2045285 ","64T2938","HTSSOP-56","TEXAS INSTRUMENTS",
"1","GND","TPSMD_M_1006","SMD_M_1006","TP2","Test pad","","","","","","",
"6","IRFS7534","IRFS7534","D2PAK-7","D1, D2, D3, D4, D5, D6","","","","","","","",
"1","PH_A","TPSMD_M_1006","SMD_M_1006","TP3","Test pad","","","","","","",
"1","PH_B","TPSMD_M_1006","SMD_M_1006","TP4","Test pad","","","","","","",
"1","PH_C","TPSMD_M_1006","SMD_M_1006","TP5","Test pad","","","","","","",
"1","REG1117","REG1117","SOT223","IC1","800mA and 1A Low Dropout (LDO) Positive Regulator","","REG1117","1097566","14P6981","","",
"1","SSA210","SCHOTTKY-DIODEDO-214AA","DO-214AA","D11","Schottky Diode","","","","","","",
"1","STM32F303XD/XELQFP64","STM32F303XD/XELQFP64","LQFP64","U2","","","","","","","",
"1","SUPPLY","TPSMD_M_1006","SMD_M_1006","TP1","Test pad","","","","","","",
